Company ID,Corporate Income Tax Rate,Net Sales,Operating Expenses,Other Income,Gross Profit Margin,Operating Cash Flow,Current Assets,Current Liabilities,Effective Tax Rate,Inventory Turnover,Return on Assets (ROA),Number of Employees,Business Location,Industry Type,Changes in Key Personnel
ABC-001,20%,"$5,000,000","$2,000,000","$100,000",40%,"$500,000","$1,500,000","$800,000",18%,8,12%,150,Chennai,Manufacturing,Yes
DEF-002,18%,"$7,000,000","$2,500,000","$150,000",35%,"$800,000","$2,000,000","$1,200,000",20%,10,15%,200,Mumbai,Technology,No
GHI-003,22%,"$8,000,000","$3,000,000","$200,000",38%,"$1,000,000","$2,500,000","$1,500,000",22%,12,18%,250,Kolkata,Retail,Yes
JKL-004,17%,"$6,000,000","$2,200,000","$120,000",42%,"$600,000","$1,800,000","$1,000,000",16%,9,14%,180,Delhi,Services,No
MNO-005,21%,"$9,000,000","$3,500,000","$250,000",36%,"$450,000","$3,000,000","$1,800,000",25%,11,20%,300,Goa,Finance,Yes
MNO-006,14%,"$8,000,000","$2,500,000","$350,000",24%,"$1,200,000","$3,500,000","$1,400,000",16%,7,15%,160,Kerala,Development,No
MNO-007,23%,"$5,000,000","$4,500,000","$250,000",33%,"$300,000","$2,000,000","$800,000",15%,8,14%,150,Gujarat,Manufacturing,No
MNO-008,21%,"$6,000,000","$2,500,000","$150,000",41%,"$500,000","$2,000,000","$100,000",20%,3,17%,210,Rajasthan,Technology,Yes
MNO-009,16%,"$5,000,000","$1,500,000","$180,000",23%,"$700,000","$1,500,000","$600,000",28%,6,20%,220,Bengaluru,Retail,Yes
MNO-010,15%,"$3,000,000","$1,500,000","$140,000",34%,"$200,000","$1,000,000","$600,000",32%,7,11%,100,Paris,Services,Yes
MNO-011,21%,"$4,000,000","$3,000,000","$150,000",23%,"$600,000","$2,000,000","$800,000",31%,11,15%,150,Chennai,Finance,Yes
MNO-012,20%,"$9,000,000","$3,500,000","$350,000",20%,"$1,200,000","$3,000,000","$1,000,000",18%,12,19%,180,Mumbai,Development,No
MNO-013,19%,"$8,000,000","$3,000,000","$300,000",15%,"$1,200,000","$2,800,000","$1,000,000",17%,11,18%,150,Kolkata,Manufacturing,No
MNO-014,17%,"$7,000,000","$3,500,000","$250,000",37%,"$1,000,000","$3,000,000","$1,300,000",19%,10,13%,200,Delhi,Technology,Yes
MNO-015,16%,"$2,000,000","$3,000,000","$100,000",38%,"$200,000","$1,000,000","$700,000",15%,3,18%,210,Goa,Retail,No
MNO-016,22%,"$5,000,000","$2,500,000","$250,000",32%,"$400,000","$2,000,000","$900,000",23%,4,10%,120,Kerala,Services,Yes
MNO-017,15%,"$7,000,000","$3,500,000","$300,000",36%,"$1,200,000","$3,000,000","$700,000",12%,14,12%,140,Gujarat,Finance,No
MNO-018,24%,"$6,000,000","$2,000,000","$250,000",30%,"$1,000,000","$2,500,000","$600,000",16%,6,18%,230,Rajasthan,Development,No
MNO-019,10%,"$4,000,000","$2,500,000","$200,000",40%,"$700,000","$2,500,000","$1,800,000",17%,9,17%,180,Bengaluru,Manufacturing,No
MNO-020,16%,"$3,000,000","$1,000,000","$150,000",21%,"$300,000","$1,500,000","$1,200,000",26%,10,14%,140,Paris,Technology,Yes
MNO-021,17%,"$6,000,000","$3,000,000","$250,000",32%,"$1,000,000","$3,000,000","$500,000",23%,12,11%,100,Chennai,Retail,Yes
MNO-022,19%,"$3,000,000","$1,000,000","$100,000",10%,"$200,000","$1,000,000","$800,000",16%,15,18%,210,Mumbai,Services,No
MNO-023,14%,"$7,000,000","$3,500,000","$250,000",20%,"$1,200,000","$3,000,000","$1,000,000",24%,10,12%,190,Kolkata,Finance,No
MNO-024,16%,"$3,000,000","$1,500,000","$100,000",15%,"$300,000","$1,000,000","$900,000",19%,7,18%,170,Delhi,Development,No
MNO-025,19%,"$7,000,000","$3,000,000","$300,000",31%,"$1,000,000","$3,000,000","$500,000",23%,8,10%,160,Goa,Manufacturing,Yes
MNO-026,21%,"$8,000,000","$3,500,000","$350,000",29%,"$1,200,000","$3,200,000","$1,000,000",19%,9,19%,140,Kerala,Technology,No
MNO-027,13%,"$5,000,000","$2,500,000","$250,000",32%,"$900,000","$2,000,000","$500,000",18%,11,13%,130,Gujarat,Retail,No
MNO-028,12%,"$9,000,000","$3,500,000","$450,000",39%,"$1,200,000","$3,500,000","$800,000",17%,9,10%,120,Rajasthan,Services,No
MNO-029,20%,"$5,000,000","$2,500,000","$250,000",29%,"$800,000","$2,500,000","$1,200,000",19%,8,20%,100,Bengaluru,Finance,No
MNO-030,18%,"$2,000,000","$1,000,000","$100,000",35%,"$200,000","$1,000,000","$900,000",22%,7,19%,150,Paris,Development,Yes
MNO-031,15%,"$4,000,000","$1,500,000","$140,000",23%,"$600,000","$1,500,000","$1,000,000",18%,7,13%,160,Chennai,Manufacturing,No
MNO-032,12%,"$5,000,000","$3,000,000","$150,000",20%,"$1,200,000","$2,000,000","$1,800,000",20%,8,18%,150,Mumbai,Technology,Yes
MNO-033,16%,"$6,000,000","$3,500,000","$350,000",15%,"$1,200,000","$2,500,000","$1,400,000",22%,3,10%,210,Kolkata,Retail,Yes
MNO-034,14%,"$7,000,000","$3,000,000","$300,000",37%,"$1,000,000","$1,800,000","$800,000",16%,6,12%,220,Delhi,Services,No
MNO-035,13%,"$9,000,000","$3,500,000","$250,000",38%,"$200,000",$3000000,"$100,000",25%,7,18%,100,Goa,Finance,Yes
MNO-036,11%,"$8,000,000","$3,000,000","$100,000",32%,"$400,000","$3,500,000","$600,000",16%,11,17%,150,Kerala,Development,No
MNO-037,20%,"$4,000,000","$2,500,000","$250,000",36%,"$1,200,000","$2,000,000","$600,000",15%,12,14%,180,Gujarat,Manufacturing,No
MNO-038,19%,"$2,000,000","$3,500,000","$300,000",30%,"$1,000,000","$2,000,000","$800,000",20%,11,11%,150,Rajasthan,Technology,Yes
MNO-039,17%,"$6,000,000","$2,000,000","$250,000",40%,"$700,000","$1,500,000","$1,000,000",28%,10,18%,200,Bengaluru,Retail,Yes
MNO-040,13%,"$5,000,000","$2,500,000","$200,000",21%,"$300,000","$1,000,000","$1,000,000",32%,3,12%,210,Paris,Services,Yes
MNO-041,16%,"$9,000,000","$1,000,000","$150,000",32%,"$1,000,000","$2,000,000","$1,300,000",31%,4,18%,120,Chennai,Manufacturing,Yes
MNO-042,21%,"$7,000,000","$3,000,000","$250,000",10%,"$200,000","$3,000,000","$700,000",18%,14,10%,140,Mumbai,Technology,No
MNO-043,16%,"$6,000,000","$1,000,000","$100,000",20%,"$1,200,000","$2,800,000","$900,000",17%,6,19%,230,Kolkata,Retail,No
MNO-044,15%,"$8,000,000","$3,500,000","$250,000",15%,"$300,000","$3,000,000","$700,000",19%,9,13%,180,Delhi,Services,No
MNO-045,14%,"$2,000,000","$1,500,000","$100,000",31%,"$1,000,000","$1,000,000","$600,000",15%,10,10%,140,Goa,Finance,No
MNO-046,13%,"$4,000,000","$3,000,000","$300,000",29%,"$1,200,000","$2,000,000","$1,800,000",23%,12,20%,100,Kerala,Development,Yes
MNO-047,12%,"$2,000,000","$3,500,000","$350,000",32%,"$900,000","$3,000,000","$1,200,000",12%,15,19%,210,Gujarat,Manufacturing,No
MNO-048,19%,"$3,000,000","$2,500,000","$250,000",39%,"$1,200,000","$2,500,000","$500,000",16%,10,12%,190,Rajasthan,Technology,No
MNO-049,20%,"$5,000,000","$3,500,000","$450,000",29%,"$800,000","$2,500,000","$800,000",17%,7,15%,170,Bengaluru,Retail,No
MNO-050,15%,"$7,000,000","$2,500,000","$250,000",35%,"$200,000","$1,500,000","$1,000,000",20%,8,16%,160,Paris,Services,Yes
